PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z
14746	10048946	-2.287733	0.471041	9.667978	-0.163773	0.944405	0.691514	-0.005692	0.001178	0.024176
14747	10048971	-2.128316	0.762085	9.375554	-0.246911	0.985779	0.739998	-0.005294	0.001908	0.023445
14748	10048996	-1.956478	0.774229	9.080808	-0.394449	1.021079	0.776452	-0.004864	0.001942	0.022707
14749	10049021	-1.893390	0.257567	9.841749	-0.276236	1.033488	0.778623	-0.004702	0.000648	0.024610
14750	10049046	-2.394836	0.581543	8.325502	-0.254941	1.035518	0.734687	-0.005961	0.001455	0.020821
14751	10049071	-2.072538	2.258528	7.363074	-0.670965	0.983267	0.664799	-0.005163	0.005657	0.018409
14752	10049096	-2.069956	1.739809	7.746881	-0.697671	0.824468	0.482649	-0.005158	0.004363	0.019369
14753	10049121	-2.028057	1.376117	9.560711	0.128818	0.609583	0.110364	-0.005052	0.003436	0.023906
14754	10049146	-0.655626	1.754909	9.538971	0.353459	0.610861	-0.045531	-0.001621	0.004377	0.023851
14755	10049171	-0.470027	0.372723	11.034323	-0.082971	0.974407	0.006059	-0.001141	0.000935	0.027587
14756	10049196	-0.584344	-0.569743	10.834220	-0.073721	1.313301	-0.012577	-0.001416	-0.001422	0.027088
14757	10049221	-0.087469	-0.621261	10.549068	0.203124	1.598458	-0.041573	-0.000166	-0.001560	0.026373
14758	10049246	-0.830322	-0.157096	8.742839	0.181443	1.660949	-0.052725	-0.002030	-0.000398	0.021861
14759	10049271	-2.471801	1.779921	6.745402	-0.180344	1.616363	-0.061084	-0.006145	0.004454	0.016875
14760	10049296	-3.374698	2.591166	10.681109	-0.307831	1.516161	-0.053419	-0.008386	0.006489	0.026716
14761	10049321	-5.962087	0.201770	10.077641	-0.102997	1.604575	-0.150511	-0.014855	0.000510	0.025224
14762	10049346	-1.480076	1.396035	9.185598	0.050670	1.535128	-0.278859	-0.003655	0.003490	0.022971
14763	10049371	0.074913	-0.211628	7.631013	-0.021891	1.594460	-0.269123	0.000225	-0.000529	0.019077
14764	10049396	-0.454074	-0.755012	9.804921	0.088275	1.746535	-0.255323	-0.001082	-0.001890	0.024514
14765	10049421	-1.838602	-0.281874	9.534731	0.025329	1.832587	-0.191498	-0.004542	-0.000704	0.023847
14766	10049446	-1.167064	0.478609	9.062467	0.089190	1.921118	-0.208022	-0.002863	0.001195	0.022663
14767	10049471	-1.028081	0.622581	8.819735	0.051551	2.063764	-0.209955	-0.002513	0.001556	0.022056
14768	10049496	-0.210526	0.367671	9.647435	0.048892	2.234171	-0.246761	-0.000459	0.000918	0.024120
14769	10049521	-0.399955	0.363101	9.031219	0.114003	2.400469	-0.321572	-0.000932	0.000905	0.022581
14770	10049546	-0.875281	-0.203297	9.395616	0.102647	2.568345	-0.278342	-0.002113	-0.000511	0.023496
14771	10049571	-1.586082	-0.402317	9.386285	0.136344	2.712546	-0.225482	-0.003886	-0.001009	0.023479
14772	10049596	-1.914534	0.702259	9.587531	0.143096	2.790127	-0.209925	-0.004702	0.001753	0.023986
14773	10049621	-0.889984	0.539344	9.084418	0.203224	2.892927	-0.237753	-0.002142	0.001343	0.022719
14774	10049646	-1.860627	1.491332	10.001593	0.181847	3.014977	-0.321244	-0.004556	0.003724	0.025022
14775	10049671	6.966684	0.336520	6.047244	0.280613	3.188134	-0.423988	0.017477	0.000827	0.015049
