PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
09262	14740501	-2.605036	0.145598	9.471504	-0.013466	-0.026156	0.014757	39.978643430	116.338923891	46.128798
09263	14740526	-2.580166	0.149861	9.440923	-0.014342	-0.027041	0.014563	39.978643430	116.338923892	46.128712
09264	14740551	-2.574663	0.099003	9.422141	-0.018203	-0.023247	0.014716	39.978643429	116.338923893	46.128626
09265	14740576	-2.566366	0.093570	9.406156	-0.015859	-0.023760	0.014360	39.978643428	116.338923893	46.128541
09266	14740601	-2.549761	0.105970	9.392910	-0.011747	-0.021732	0.011265	39.978643427	116.338923894	46.128455
09267	14740626	-2.516605	0.130833	9.365047	-0.018008	-0.024134	0.014347	39.978643426	116.338923895	46.127796
09268	14740651	-2.473842	0.137724	9.365106	-0.028253	-0.017700	0.013012	39.978643425	116.338923895	46.127708
09269	14740676	-2.472413	0.137808	9.339834	-0.029032	-0.021785	0.010069	39.978643424	116.338923896	46.127620
09270	14740701	-2.464192	0.096509	9.341028	-0.032976	-0.016861	0.010033	39.978643423	116.338923897	46.127530
09271	14740726	-2.412787	0.249612	9.257736	-0.036792	-0.010748	0.012757	39.978643423	116.338923898	46.127439
09272	14740751	-2.319099	0.158894	9.224237	-0.047401	-0.007471	0.007418	39.978643422	116.338923899	46.127346
09273	14740776	-2.392109	0.154891	9.202875	-0.049528	-0.007021	0.004016	39.978643421	116.338923899	46.127252
09274	14740801	-2.355014	0.109324	9.229378	-0.040889	0.004545	0.001509	39.978643420	116.338923900	46.127156
09275	14740826	-2.395131	0.113248	9.287906	-0.053573	0.006314	0.000469	39.978643419	116.338923901	46.123791
09276	14740851	-2.419966	0.172228	9.342646	-0.052828	0.009789	0.004977	39.978643418	116.338923902	46.123690
09277	14740876	-2.373033	0.234159	9.336211	-0.053097	0.014675	-0.001347	39.978643417	116.338923902	46.123588
09278	14740901	-2.319146	0.239850	9.284365	-0.064005	0.023068	-0.002688	39.978643416	116.338923903	46.123485
09279	14740926	-2.453011	0.135220	9.302576	-0.076270	0.034732	-0.007930	39.978643415	116.338923904	46.123380
09280	14740951	-2.679250	0.093734	9.358199	-0.069934	0.035891	-0.005080	39.978643414	116.338923905	46.123275
09281	14740976	-2.661484	0.077058	9.404711	-0.076684	0.027765	-0.004624	39.978643413	116.338923906	46.123169
09282	14741001	-2.523659	-0.020516	9.360576	-0.079040	0.025876	-0.009075	39.978643412	116.338923907	46.123063
09283	14741026	-2.504157	0.069181	9.311632	-0.069267	0.025414	-0.013629	39.978643411	116.338923907	46.123831
09284	14741051	-2.496096	0.059147	9.398102	-0.061119	0.032145	-0.002497	39.978643410	116.338923908	46.123724
09285	14741076	-2.639862	-0.015631	9.524175	-0.064652	0.027709	-0.011472	39.978643409	116.338923909	46.123617
09286	14741101	-2.586244	-0.069460	9.554640	-0.065397	0.030346	-0.004411	39.978643408	116.338923910	46.123511
09287	14741126	-2.552787	-0.107279	9.366911	-0.076897	0.032383	-0.004311	39.978643407	116.338923911	46.123404
09288	14741151	-2.460510	-0.191152	9.356053	-0.064227	0.035286	-0.003710	39.978643406	116.338923912	46.123297
09289	14741176	-2.518227	-0.136016	9.318937	-0.054336	0.034453	0.004563	39.978643405	116.338923912	46.123189
09290	14741201	-2.599635	0.008099	9.441780	-0.052004	0.033489	-0.000362	39.978643404	116.338923913	46.123081
09291	14741226	-2.656271	0.086194	9.531152	-0.053082	0.028753	0.003758	39.978643403	116.338923914	46.127277
09292	14741251	-2.623239	0.083391	9.551110	-0.056706	0.030167	-0.003152	39.978643402	116.338923915	46.127173
09293	14741276	-2.539152	0.016102	9.499045	-0.061721	0.031662	-0.001189	39.978643401	116.338923916	46.127069
09294	14741301	-2.497643	-0.019328	9.413811	-0.061616	0.036921	0.000001	39.978643400	116.338923916	46.126965
09295	14741326	-2.530637	-0.022012	9.392494	-0.057514	0.037295	0.000532	39.978643399	116.338923917	46.126859
09296	14741351	-2.611887	0.022120	9.377954	-0.053027	0.036030	-0.002816	39.978643398	116.338923918	46.126754
09297	14741376	-2.593002	-0.034850	9.516157	-0.044937	0.033894	-0.002125	39.978643397	116.338923919	46.126650
09298	14741401	-2.536585	-0.095473	9.523972	-0.037192	0.033753	-0.006439	39.978643396	116.338923920	46.126545
09299	14741426	-2.503311	-0.085532	9.440196	-0.040664	0.032875	-0.006466	39.978643395	116.338923920	46.130705
09300	14741451	-2.666119	-0.039026	9.533394	-0.041105	0.045769	0.003150	39.978643394	116.338923921	46.130604
09301	14741476	-2.888248	-0.016046	9.659753	-0.044768	0.041775	0.002551	39.978643393	116.338923922	46.130504
09302	14741501	-2.891052	0.014132	9.678476	-0.036550	0.023641	0.002003	39.978643392	116.338923923	46.130406
09303	14741526	-2.722629	-0.000613	9.562767	-0.042263	0.019144	-0.000283	39.978643391	116.338923924	46.130310
