PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
03734	35497249	-19.994404	2.387963	11.638589	0.514185	-5.046161	2.713254	39.979375094	116.338911827	46.150493
03735	35497274	-19.879232	1.688479	9.512071	0.425704	-4.963972	2.662538	39.979375131	116.338911820	46.140838
03736	35497299	-19.764893	0.825765	7.891319	0.376573	-4.866643	2.556712	39.979375167	116.338911812	46.144191
03737	35497324	-19.755606	-0.092406	6.417060	0.393091	-4.780486	2.387820	39.979375202	116.338911804	46.147565
03738	35497349	-19.823872	-1.286961	5.288948	0.474495	-4.685830	2.172062	39.979375237	116.338911795	46.150953
03739	35497374	-19.741112	-2.755387	4.704352	0.574280	-4.592894	2.002896	39.979375271	116.338911785	46.154300
03740	35497399	-19.527638	-4.479966	4.725345	0.639318	-4.468512	1.907787	39.979375304	116.338911775	46.157692
03741	35497424	-19.608614	-5.584315	4.477893	0.776051	-4.321255	1.808490	39.979375336	116.338911764	46.161079
03742	35497449	-20.005198	-6.284511	4.374248	0.957678	-4.168400	1.685018	39.979375367	116.338911752	46.164460
03743	35497474	-20.397116	-6.725954	4.319443	1.139812	-4.043979	1.572102	39.979375397	116.338911740	46.153990
03744	35497499	-20.704841	-6.970816	4.306570	1.316667	-3.922737	1.457396	39.979375426	116.338911728	46.157345
03745	35497524	-21.064312	-6.920867	4.218640	1.483233	-3.802218	1.352996	39.979375453	116.338911715	46.160690
03746	35497549	-21.399758	-6.629761	4.073287	1.622904	-3.683307	1.247908	39.979375480	116.338911701	46.164021
03747	35497574	-21.711261	-6.233645	3.796382	1.722464	-3.566983	1.152558	39.979375506	116.338911687	46.167330
03748	35497599	-22.095507	-5.641946	3.474872	1.784521	-3.451744	1.061343	39.979375530	116.338911672	46.170631
03749	35497624	-22.287961	-4.915162	3.103522	1.814918	-3.337727	0.986054	39.979375553	116.338911657	46.173912
03750	35497649	-22.853627	-4.303945	2.724299	1.794755	-3.225873	0.918749	39.979375576	116.338911641	46.177172
03751	35497674	-23.301445	-3.419228	2.426407	1.754163	-3.077737	0.855444	39.979375596	116.338911623	46.138479
03752	35497699	-23.481246	-2.987765	2.043258	1.653690	-2.945187	0.850156	39.979375616	116.338911605	46.141671
03753	35497724	-23.920822	-2.825930	1.418107	1.538271	-2.783450	0.880271	39.979375635	116.338911586	46.144835
03754	35497749	-24.462119	-2.022047	0.802252	1.398257	-2.646896	0.916965	39.979375653	116.338911567	46.147966
03755	35497774	-25.067848	-1.514295	-0.231622	1.254937	-2.525982	0.977162	39.979375670	116.338911545	46.151040
03756	35497799	-25.597211	-1.149006	-1.101912	1.105360	-2.391939	1.033138	39.979375685	116.338911523	46.154092
03757	35497824	-25.901897	-0.730181	-1.944027	0.974728	-2.238145	1.083464	39.979375699	116.338911500	46.157098
03758	35497849	-26.189706	-0.278097	-2.822151	0.840090	-2.070661	1.131118	39.979375713	116.338911476	46.160050
03759	35497874	-26.432624	-0.065508	-3.683550	0.698591	-1.907009	1.191697	39.979375725	116.338911450	46.150767
03760	35497899	-26.894744	0.111084	-4.524087	0.525909	-1.736591	1.262674	39.979375736	116.338911423	46.153591
03761	35497924	-27.481214	0.044043	-5.320168	0.368287	-1.556134	1.337589	39.979375745	116.338911395	46.156346
03762	35497949	-27.915413	0.121749	-5.834812	0.187859	-1.379751	1.400042	39.979375754	116.338911365	46.159029
03763	35497974	-28.267990	-0.163223	-6.584963	0.019126	-1.194881	1.443648	39.979375762	116.338911333	46.161611
03764	35497999	-28.499671	-0.480166	-7.268589	-0.110766	-1.002792	1.442586	39.979375768	116.338911301	46.164132
03765	35498024	-28.580354	-0.996613	-7.851504	-0.279659	-0.809989	1.417043	39.979375773	116.338911267	46.166567
03766	35498049	-28.495491	-1.905181	-8.631082	-0.347731	-0.643950	1.382401	39.979375777	116.338911231	46.168908
03767	35498074	-28.433551	-2.861394	-8.739341	-0.411104	-0.498775	1.309133	39.979375778	116.338911194	46.146003
03768	35498099	-28.107825	-3.560517	-8.732039	-0.445734	-0.342889	1.231973	39.979375780	116.338911156	46.148129
03769	35498124	-27.712501	-4.505080	-8.618038	-0.479655	-0.182156	1.165782	39.979375779	116.338911117	46.150154
03770	35498149	-27.152454	-5.447726	-8.280531	-0.495291	0.012967	1.110514	39.979375778	116.338911076	46.152077
03771	35498174	-26.322726	-5.976365	-7.551528	-0.500862	0.243981	1.059319	39.979375775	116.338911035	46.153903
03772	35498199	-25.648196	-6.416793	-6.930029	-0.489876	0.460237	0.997918	39.979375771	116.338910993	46.155628
03773	35498224	-25.056022	-6.122693	-6.038472	-0.466900	0.660375	0.921131	39.979375765	116.338910950	46.157259
03774	35498249	-24.903961	-6.559057	-4.844014	-0.516430	0.817445	0.917672	39.979375759	116.338910906	46.158804
03775	35498274	-24.497613	-6.409917	-3.589063	-0.543002	0.971091	0.902300	39.979375750	116.338910860	46.141040
03776	35498299	-23.714868	-5.782647	-2.077946	-0.560764	1.130197	0.862557	39.979375740	116.338910814	46.142419
03777	35498324	-23.068636	-5.325882	-0.644660	-0.590335	1.263242	0.815523	39.979375730	116.338910768	46.143736
03778	35498349	-22.631639	-4.776621	0.736902	-0.604740	1.386983	0.753795	39.979375718	116.338910720	46.145000
03779	35498374	-22.115784	-4.009977	2.141879	-0.618330	1.500293	0.676545	39.979375705	116.338910673	46.146269
03780	35498399	-21.645402	-3.348821	3.450792	-0.646677	1.575498	0.613064	39.979375691	116.338910624	46.147457
03781	35498424	-21.109850	-2.687213	4.627806	-0.676995	1.636541	0.545878	39.979375676	116.338910575	46.148620
03782	35498449	-20.404920	-2.124776	5.788799	-0.715826	1.675804	0.485182	39.979375660	116.338910525	46.149766
03783	35498474	-21.173586	-1.663438	-2.703650	-0.858217	1.829242	0.460198	39.979375641	116.338910471	46.125258
03784	35498499	-13.089133	-0.134387	-44.951196	-2.737486	3.312646	0.484199	39.979375623	116.338910420	46.126151
03785	35498524	17.045042	4.378353	-7.459482	-1.884750	3.827893	-0.108998	39.979375605	116.338910367	46.126825
03786	35498549	12.762400	3.070296	19.155973	-2.077190	2.935132	-0.515472	39.979375588	116.338910315	46.127464
03787	35498574	0.133331	10.940575	16.948472	-2.483364	3.269381	-0.431481	39.979375573	116.338910265	46.128799
03788	35498599	-3.816002	9.037047	17.287723	-3.237579	3.661009	-0.313317	39.979375557	116.338910213	46.129546
03789	35498624	-1.987813	6.778740	1.078012	-4.242263	3.657975	-0.464217	39.979375541	116.338910161	46.130298
03792	35498649	1.085164	8.204787	-11.346781	-3.871234	4.071100	-0.619961	39.979375525	116.338910108	46.130968
03793	35498674	10.602750	9.924974	-6.245450	-3.675197	4.041902	-0.660186	39.979380057	116.338914898	46.149417
03794	35498699	20.010700	8.883085	-1.957493	-3.094642	4.047415	-0.642572	39.979380072	116.338914880	46.150520
03795	35498724	21.386375	3.555093	-4.627962	-2.305321	4.804725	-0.527164	39.979380089	116.338914863	46.151493
