PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
41149	36414274	-2.202071	0.978675	9.590945	-0.013122	0.063117	-0.015531	39.979427539	116.338893469	46.876939
41150	36414299	-2.203301	0.888301	9.472246	-0.005989	0.069034	-0.012659	39.979427538	116.338893468	46.876914
41151	36414324	-2.251453	0.900711	9.470948	-0.005424	0.060581	-0.014909	39.979427537	116.338893467	46.876889
41152	36414349	-2.222623	0.948614	9.529649	-0.008190	0.057471	-0.012042	39.979427536	116.338893466	46.876864
41153	36414374	-2.167554	0.943061	9.548274	-0.008748	0.048725	-0.013351	39.979427535	116.338893465	46.876840
41154	36414399	-2.030815	0.913296	9.400607	-0.008893	0.060178	-0.013542	39.979427535	116.338893464	46.876814
41155	36414424	-2.108048	0.889893	9.411131	0.000212	0.063723	-0.015993	39.979427534	116.338893463	46.876788
41156	36414449	-2.250341	0.889346	9.554712	0.002390	0.063220	-0.015602	39.979427533	116.338893462	46.876762
41157	36414474	-2.144090	0.938983	9.523005	0.002801	0.060815	-0.016278	39.979427532	116.338893461	46.878423
41158	36414499	-2.043224	0.920172	9.409928	0.002013	0.064641	-0.018170	39.979427531	116.338893460	46.878397
41159	36414524	-2.150751	0.964040	9.452594	0.001268	0.072508	-0.016677	39.979427530	116.338893459	46.878371
41160	36414549	-2.288859	1.025439	9.604355	0.000414	0.065804	-0.020203	39.979427529	116.338893458	46.878346
41161	36414574	-2.277708	1.050331	9.572524	-0.009495	0.060789	-0.018202	39.979427528	116.338893457	46.878323
41162	36414599	-2.177037	1.014715	9.515259	-0.010180	0.060438	-0.016825	39.979427528	116.338893456	46.878299
41163	36414624	-2.172995	0.982952	9.543092	-0.011151	0.061765	-0.016955	39.979427527	116.338893455	46.878274
41164	36414649	-2.252940	0.958241	9.541636	-0.016461	0.068538	-0.016883	39.979427526	116.338893454	46.878250
41165	36414674	-2.206143	0.899120	9.522832	-0.009792	0.064315	-0.015444	39.979427525	116.338893452	46.876883
41166	36414699	-2.109585	0.875848	9.470939	-0.013509	0.064634	-0.011832	39.979427524	116.338893451	46.876858
41167	36414724	-2.130205	0.863635	9.440287	-0.008923	0.070187	-0.012240	39.979427523	116.338893450	46.876832
41168	36414749	-2.126040	0.917188	9.467084	-0.005516	0.073820	-0.014350	39.979427522	116.338893449	46.876806
41169	36414774	-2.135586	0.972306	9.449953	-0.009224	0.075583	-0.015195	39.979427521	116.338893448	46.876780
41170	36414799	-2.194966	0.961148	9.489790	-0.009948	0.076832	-0.015956	39.979427520	116.338893447	46.876753
41171	36414824	-2.215527	1.049152	9.508703	-0.012347	0.073436	-0.014909	39.979427519	116.338893446	46.876727
41172	36414849	-2.180972	1.046567	9.458170	-0.019768	0.073636	-0.015090	39.979427519	116.338893445	46.876700
41173	36414874	-2.189486	0.928163	9.485695	-0.023094	0.074103	-0.017627	39.979427518	116.338893444	46.877363
41174	36414899	-2.083264	0.888447	9.419111	-0.024803	0.077729	-0.016822	39.979427517	116.338893443	46.877336
41175	36414924	-2.004373	0.961792	9.312982	-0.028649	0.084989	-0.014472	39.979427516	116.338893442	46.877308
41176	36414949	-2.009799	0.930248	9.280954	-0.033565	0.087416	-0.021099	39.979427515	116.338893441	46.877279
41177	36414974	-2.138293	0.986121	9.443358	-0.030781	0.099806	-0.021093	39.979427514	116.338893440	46.877249
41178	36414999	-2.184029	1.018687	9.559157	-0.032562	0.099631	-0.016342	39.979427513	116.338893439	46.877218
41179	36415024	-2.029187	1.011170	9.350382	-0.048088	0.104471	-0.019909	39.979427512	116.338893438	46.877187
41180	36415049	-2.009677	0.914010	9.215712	-0.045373	0.113516	-0.023596	39.979427511	116.338893437	46.877155
41181	36415074	-2.059438	0.923376	9.278235	-0.044392	0.116117	-0.022903	39.979427510	116.338893436	46.874759
41182	36415099	-1.997404	1.019500	9.326481	-0.050822	0.124303	-0.026089	39.979427509	116.338893435	46.874722
