PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z
45432	28487899	-1.419998	8.769932	15.764253	1.275763	5.821439	-2.528039	-0.003194	0.021872	0.039470
45433	28487924	1.881144	10.409028	16.444447	0.848569	6.002052	-2.436888	0.005090	0.025964	0.041101
45434	28487949	2.955277	7.489717	15.756941	0.296720	6.187404	-2.385213	0.007748	0.018687	0.039340
45435	28487974	0.652076	5.058845	16.376573	0.171856	6.468074	-2.441368	0.002000	0.012633	0.040929
45436	28487999	1.536749	3.605212	13.838377	-0.033989	6.681735	-2.467122	0.004158	0.009002	0.034562
45437	28488024	0.556540	2.134370	8.976932	-0.421931	6.979877	-2.379417	0.001603	0.005343	0.022426
45438	28488049	-7.385672	3.907572	6.308313	-1.300049	7.452437	-2.295557	-0.018288	0.009847	0.015926
45439	28488074	-21.362794	6.990008	8.969068	-2.630659	7.724678	-1.997336	-0.053144	0.017683	0.022879
45440	28488099	-22.995600	5.463743	0.826076	-3.864998	7.941567	-1.886214	-0.057433	0.013806	0.002569
45441	28488124	-21.347082	4.494312	-8.963821	-4.610728	8.636573	-1.845479	-0.053580	0.011232	-0.021897
45442	28488149	-33.087100	2.558302	0.382602	-4.961882	9.238484	-1.934264	-0.082684	0.006605	0.001871
45443	28488174	-67.185679	6.231717	37.254290	-4.180257	8.574629	-1.811912	-0.166917	0.016451	0.094844
45444	28488199	-80.140810	11.386433	61.378062	-3.590186	6.426723	-1.334347	-0.199063	0.029492	0.154917
45445	28488224	-72.812168	11.680372	71.043085	-3.085637	3.649506	-0.994404	-0.181181	0.030113	0.178321
45446	28488249	-61.973382	11.054242	67.707869	-2.024262	1.099772	-1.095678	-0.154662	0.028276	0.169411
45447	28488274	-49.934779	13.113610	64.904765	-1.153936	0.055581	-1.387347	-0.124768	0.033234	0.162223
45448	28488299	-32.848326	11.241204	68.372900	-1.200851	0.293957	-1.332180	-0.082011	0.028496	0.170920
45449	28488324	-21.955599	5.983967	63.184395	-1.919167	0.709164	-1.112045	-0.054728	0.015415	0.157973
45450	28488349	-22.971213	4.714236	47.066175	-2.591525	0.854952	-1.003120	-0.057287	0.012239	0.117688
45451	28488374	-24.037606	0.304542	26.923062	-2.345377	0.655006	-1.058922	-0.060038	0.001038	0.067354
45452	28488399	-23.982219	-4.782851	8.100363	-0.375220	0.783103	-1.289120	-0.059955	-0.011851	0.020315
45453	28488424	-21.187063	-5.033129	16.202398	-0.508891	0.329247	-1.474243	-0.052974	-0.012459	0.040536
45454	28488449	-17.929589	-4.547840	8.622892	-1.059237	-0.249854	-1.466211	-0.044851	-0.011259	0.021558
45457	28488474	-14.529980	-6.843009	4.354436	-1.140080	-0.099640	-1.560445	-0.036360	-0.017021	0.010906
45458	28488499	-11.376814	-6.175559	2.879275	-1.150846	0.319593	-1.731821	-0.028472	-0.015367	0.007232
45459	28488524	-10.350233	-4.154981	3.462997	-1.079819	0.971331	-1.947631	-0.025890	-0.010313	0.008703
45460	28488549	-11.916395	-3.714925	4.275317	-1.047891	1.451565	-2.126385	-0.029796	-0.009194	0.010754
45461	28488574	-15.370943	-3.353892	4.808003	-0.990961	1.679503	-2.252395	-0.038425	-0.008262	0.012111
45462	28488599	-17.111862	-2.285752	7.633994	-0.893649	1.765265	-2.323801	-0.042754	-0.005569	0.019186
45463	28488624	-17.612536	-1.111104	10.643255	-0.834098	1.780434	-2.349375	-0.043980	-0.002621	0.026709
45464	28488649	-17.652270	0.304543	13.680001	-0.715270	1.871562	-2.390106	-0.044048	0.000924	0.034302
45465	28488674	-17.401748	1.971097	16.980239	-0.571673	2.015359	-2.433652	-0.043382	0.005090	0.042556
45466	28488699	-17.653086	3.237608	19.516429	-0.465336	2.080793	-2.436104	-0.043981	0.008257	0.048901
45467	28488724	-18.480672	4.348964	21.183853	-0.386969	2.027423	-2.388929	-0.046034	0.011036	0.053071
45468	28488749	-18.741956	5.589146	22.871535	-0.323240	1.906578	-2.314366	-0.046678	0.014131	0.057285
45469	28488774	-18.525570	6.887294	24.116850	-0.291220	1.770910	-2.236802	-0.046132	0.017369	0.060388
45470	28488799	-18.046670	8.034523	24.900283	-0.269022	1.647428	-2.146695	-0.044934	0.020228	0.062337
45471	28488824	-17.444855	8.970960	25.010334	-0.301581	1.518385	-2.056565	-0.043435	0.022563	0.062600
45472	28488849	-16.800823	9.697083	24.707263	-0.372127	1.368070	-1.948138	-0.041837	0.024373	0.061828
45473	28488874	-15.958312	10.101980	24.102652	-0.486981	1.215583	-1.809340	-0.039747	0.025382	0.060302
45474	28488899	-14.824743	10.725414	22.949355	-0.617512	1.068926	-1.694416	-0.036928	0.026936	0.057402
45475	28488924	-13.692410	11.178764	21.613449	-0.743205	0.948840	-1.589386	-0.034111	0.028065	0.054048
45476	28488949	-12.512636	11.181746	20.391737	-0.877792	0.849561	-1.493929	-0.031175	0.028069	0.050982
45477	28488974	-11.382602	11.166850	19.198024	-0.999495	0.759009	-1.410623	-0.028362	0.028027	0.047987
45478	28488999	-10.449021	11.055874	18.336314	-1.124908	0.684180	-1.318265	-0.026038	0.027747	0.045824
