PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
27063	3921540	7.104406	-1.718438	1.749796	0.825747	-1.334190	-0.368397	-57.627423	-79.603011	14.609675
27064	3921565	7.115351	-1.757025	1.770899	0.813045	-1.309046	-0.365359	-58.232638	-79.747690	15.343221
27065	3921590	7.116453	-1.900120	1.786352	0.789047	-1.282185	-0.367406	-58.841019	-79.889211	16.076159
27066	3921615	7.070866	-1.992271	1.797964	0.764731	-1.252610	-0.371745	-59.449252	-80.027710	16.805068
27067	3921640	7.000552	-1.993761	1.827191	0.756024	-1.224344	-0.372540	-60.056878	-80.162911	17.531811
27068	3921665	6.970139	-2.024088	1.853611	0.748340	-1.195481	-0.372055	-60.663190	-80.294675	18.255810
27069	3921690	6.948033	-2.077739	1.854800	0.753802	-1.169238	-0.374313	-61.266430	-80.423592	18.977205
27070	3921715	6.839337	-2.095374	1.804146	0.761542	-1.142176	-0.377074	-61.864825	-80.549738	19.694526
27071	3921740	6.716866	-2.049931	1.792279	0.791252	-1.117907	-0.380285	-62.456559	-80.673429	20.409164
27072	3921765	6.553228	-2.064639	1.697805	0.818062	-1.088396	-0.384359	-63.036979	-80.794504	21.115978
27073	3921790	6.362331	-1.948527	1.545307	0.840731	-1.053775	-0.392214	-63.600267	-80.913215	21.808489
27074	3921815	6.341789	-1.999096	1.449467	0.848020	-1.011450	-0.400818	-64.141030	-81.029296	22.479013
27075	3921840	6.369271	-2.028043	1.475930	0.861753	-0.972146	-0.410007	-64.659340	-81.143155	23.128599
27076	3921865	6.278750	-1.942376	1.380546	0.888506	-0.938392	-0.404494	-65.162531	-81.253346	23.766564
27077	3921890	6.251522	-1.906204	1.266342	0.921390	-0.904876	-0.405663	-65.646206	-81.360847	24.389366
27078	3921915	6.221572	-1.924879	1.121462	0.944640	-0.859172	-0.405580	-66.100502	-81.464885	24.985647
27079	3921940	6.157127	-1.888772	1.019258	0.953106	-0.810989	-0.407720	-66.522957	-81.565747	25.550803
27080	3921965	6.157312	-1.858274	0.967503	0.964676	-0.771013	-0.406712	-66.920059	-81.663616	26.091861
27081	3921990	6.018639	-1.771175	0.853483	0.980992	-0.727663	-0.409791	-67.285165	-81.758947	26.602814
27082	3922015	5.955719	-1.721080	0.703419	0.987615	-0.688540	-0.406417	-67.624578	-81.851227	27.088650
27083	3922040	5.884439	-1.701384	0.581242	0.982297	-0.636070	-0.401177	-67.926962	-81.939581	27.536202
27084	3922065	5.931486	-1.728487	0.469567	0.964959	-0.582080	-0.390443	-68.192910	-82.023306	27.944353
27085	3922090	5.864391	-1.753954	0.302025	0.943307	-0.531826	-0.376828	-68.425963	-82.102309	28.316079
27086	3922115	5.766947	-1.717764	0.181196	0.910847	-0.474483	-0.360768	-68.620139	-82.175970	28.643809
